class_type,title,alt_labels,description,skill_type,source
Skill,Aladdin4D,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,Algorithmia,,Machine Learning,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660037
Skill,Alibre Design,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,AliceVision,,Photogrammetry,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660038
Skill,align components,align pieces;arrange components in order;adjust components;align components;align segments,Align and lay out components in order to put them together correctly according to blueprints and technical plans.,skill,ESCO
Skill,align content with form,aligning content with form;align contents with form;adjust content to form;harmonise content with form;fit content to form,Align form and content to make sure they fit together.,skill,ESCO
Skill,align software with system architectures,,Put system design and technical specifications in line with software architecture in order to ensure the integration and interoperability between components of the system.,skill,ESCO
Skill,Amapi,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,AMP Font Viewer,,Font management,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660039
Skill,analyse big data,investigate big data;test big data;analysing big data;scrutinise big data;search big data;big data analysing;big data analysis,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data.",skill,ESCO
Skill,analyse business processes,,Study the contribution of the work processes to the business goals and monitor their efficiency and productivity.,skill,ESCO
Skill,analyse business requirements,analyse customer product risks;business requirements analysis,Study clients' needs and expectations for a product or service in order to identify and resolve inconsistencies and possible disagreements of involved stakeholders.,skill,ESCO
Skill,analyse data about clients,analyse data about guests;analyse data on clients;analyse clients interests;analyse data about customers;analyse customer interests;analyse client data;analyse guests interests;analyse data about visitors;undertake customer analysis,"Study data about clients, visitors, customers or guests. Gather, process and analyse data about their characteristics, needs and buying behaviours.",skill,ESCO
Skill,analyse data for aeronautical publications,"analyse data for aviation publications;evaluate data for aeronautical publications;create aeronautical publication amendments through data analysis;conduct aeronautical data analysis for incorporation into aeronautical publications;assess data for aeronautical publications;collect, edit, and analyse data for incorporation into aeronautical publications;evaluate data for aviation publications;analyse civil aviation authority data for incorporation into aeronautical publications;develop aeronautical publication amendments through data analysis;assess data for aviation publications","Collect, edit, and most importantly analyse data received from civil aviation authorities and related services. Analyse the data to prepare amendments that are incorporated into aeronautical informational publications.",skill,ESCO
Skill,analyse data for policy decisions in trade,analyse data for a policy decision in trade;analysis of data for policy decisions in trade;analysing data for policy decisions in trade;investigate data for policy decisions in trade;test data for policy decisions in trade;scrutinise data for policy decisions in trade;search data for policy decisions in trade,"Analyse data about a specific company, retailer, market or store formula. Process all gathered information into a corporate plan, and use it to prepare upcoming policy decisions.",skill,ESCO
Skill,analyse ecological data,analysing ecological data;analyse data on ecology;interpret ecological and biological data;examine ecological data,"Analyse and interpret ecological and biological data, using specialist software programs.",skill,ESCO
Skill,analyse environmental data,evaluate environmental data;examine environmental data;analysing environmental data;survey environmental data;review environmental data;inspect environmental data,Analyse data that interpret correlations between human activities and environmental effects.,skill,ESCO
Skill,analyse experimental laboratory data,analyze experimental laboratory data;interpret experimental laboratory data;interpret results of laboratory experiments;examine experimental laboratory data,Analyse experimental data and interpret results to write reports and summaries of findings,skill,ESCO
Skill,analyse gambling data,analyse lottery data;analyse betting data;analyse data on gambling;analyse data on gambles,"Analyse relevant data points collected during gambling, betting or lottery activities. Process the data to obtain conclusions useful for the efficient running of the betting or lottery operation.",skill,ESCO
Skill,analyse ICT system,,"Study the activity and performance of information systems in order to model their usage and weaknesses, specify purpose, architecture and services and discover operations and procedures for accomplishing them most efficiently.",skill,ESCO
Skill,analyse information processes,analyse info processes;examine information processes;analyse information process;review information processes;evaluate information processes;analysing information processes,"Analyse internal processes, implement procedural or policy changes to improve internal operations, such as supply changes or the disposal of records.",skill,ESCO
Skill,analyse large-scale data in healthcare,interpret large-scale data in healthcare;carry out large-scale data in healthcare;analyse statistic in healthcare;evaluate large-scale data in healthcare;examine large-scale data in healthcare;analyze large-scale data in healthcare;analyse big data in healthcare;analyse large-scale data in health care;analyse statistics in healthcare;assay large-scale data in healthcare,"Carry out large-scale data gathering such as questionnaire surveys, and analyse the obtained data.",skill,ESCO
